,動畫集數,動漫集數
3,第100話：初戀情人回憶事件前篇,　18
4,第101話：初戀情人回憶事件後篇,　18
5,第129話：來自黑暗組織的女子大學教授殺人事件（雷）, 18
6,第130話：競技場無差別恐嚇事件前篇（雷）, 19
7,第131話：競技場無差別恐嚇事件後篇,　19
8,第136話：青色古堡探索事件前篇（雷）, 20
9,第137話：青色古堡探索事件後篇,　20
10,第146話：本廳刑事戀愛物語前篇,　21
11,第147話：本廳刑事戀愛物語後篇,　21
12,第153話：園子的危險夏日故事前篇,　22
13,第154話：園子的危險夏日故事後篇,　22
14,第156話：本廳刑事戀愛物語2前篇（雷）,　23
15,第157話：本廳刑事戀愛物語2後篇,　24
16,第166話：鳥取蜘蛛屋的怪物事件篇, 25
17,第167話：鳥取蜘蛛屋的怪物疑惑篇,　25
18,第168話：鳥取蜘蛛屋的怪物解決篇,　25
19,第192話：性命交關的復活歸來的新一, 26
20,第193話：性命交關的復活約定的場所（雷）, 26
21,第205話：本廳刑事戀愛物語3前篇, 27
22,第206話：本廳刑事戀愛物語3後篇, 27
23,第212話：蘑菇、熊和偵探團前篇, 27
24,第213話：蘑菇、熊和偵探團後篇, 27
25,第217話：被封印的目暮的祕密前篇, 28
26,第218話：被封印的目暮的祕密後篇, 28
27,第222話：人魚就此消失了事件篇（雷）,　28
28,第223話：人魚就此消失了疑惑篇（雷）,　28
29,第224話：人魚就此消失了解決篇,　28
30,第238話：大阪3個K事件前篇, 29
31,第239話：大阪3個K事件後篇,　29
32,第240話：新幹線護送事件前篇, 30
33,第241話：新幹線護送事件後篇, 30
34,第253話：本廳刑事戀愛物語4前篇, 32
35,第254話：本廳刑事戀愛物語4後篇, 33
36,第266話︰情人節的真相事件篇（雷）, 33
37,第267話︰情人節的真相推理篇,　33
38,第268話︰情人節的真相解決篇,　33
39,第279話︰迷宮的陰暗前篇（雷）, 34
40,第280話︰迷宮的陰暗後篇, 34
41,第312話︰夕陽染紅的女兒節人偶前篇（雷）, 38
42,第313話︰夕陽染紅的女兒節人偶後篇, 38
43,第323話︰服部平次一籌莫展前篇（雷）, 38
44,第324話︰服部平次一籌莫展後篇, 38
45,第342話：豪斯登堡的新娘動畫版原創,動畫版原創
46,第356話：怪盜基德的奇異空中漫步, 44
47,第358話：本廳刑事戀愛物語5前篇, 40
48,第359話：本廳刑事戀愛物語5後篇, 40
49,第381話：誰的推理秀前篇（雷）, 43
50,第382話：誰的推理秀後篇, 43
51,第383話：甲子園的奇蹟不能輸給看不見的惡魔, 4344
52,第390話：本廳刑事戀愛物語6前篇, 44
53,第391話：本廳刑事戀愛物語6後篇, 44
54,第421話：銀杏色的初戀前篇（雷）, 40
55,第422話：銀杏色的初戀後篇,　40
56,第431話：本廳刑事戀愛物語7前篇, 50
57,第432話：本廳刑事戀愛物語7後篇, 50
58,第449話：本廳刑事戀愛物語8假扮的婚禮, 52
59,第457話：園子的紅手帕前篇, 52
60,第458話：園子的紅手帕後篇, 52
61,第472話：工藤新一少年時的冒險前篇（雷）, 55
62,第473話：工藤新一少年時的冒險後篇, 55
63,第474話：妃英理律師之戀, 55
64,第487話：本廳刑事戀愛物語8左手的無名指, 56
65,第521話：殺人犯、工藤新一, 62
66,第522話：新一的真面目與小蘭的眼淚, 62
67,第523話：真正想問的事, 63
68,第530話：都市傳說的真面目(前篇), 60
69,第531話：都市傳說的真面目(後篇), 60
70,第568話：白鳥警官櫻花的回憶（前篇）（雷）, 66
71,第569話：白鳥警官櫻花的回憶（後篇）, 66
72,第573話：難為情的護身符的去向（前篇）（雷）, 66
73,第574話：難為情的護身符的去向（後篇）, 66
74,第583話：小林老師的戀情, 67
75,第584話：白鳥警官的失戀, 6768
76,第585話：超越時空的櫻花之戀, 68
77,第589話：最糟糕的生日（前篇）（雷）, 68
78,第590話：最糟糕的生日（後篇）, 68
79,第608話：背叛的白色情人節（前篇）（雷）, 69
80,第609話：背叛的白色情人節（後篇）, 69
81,第616話：福爾摩斯的啟示錄（名偵探的弟子）（雷）, 71
82,第617話：福爾摩斯的啟示錄（Love即是0）, 71
83,第618話：福爾摩斯的啟示錄（撒旦）, 71
84,第619話：福爾摩斯的啟示錄（Codebreak）, 71
85,第620話：福爾摩斯的啟示錄（草地女王）, 71
86,第621話：福爾摩斯的啟示錄（0isStart）（雷）, 7172
87,第624話：初戀的錄影信（雷）, 71
88,第652話：毒與幻的設計（EYE）（雷）, 74
89,第653話：毒與幻的設計（S）, 74
90,第654話：毒與幻的設計（Poison）, 7475
91,第655話：毒與幻的設計（Illusion）（雷）, 75
92,第659話：與初戀的共同搜查（前篇）（雷）, 75
93,第660話：與初戀的共同搜查（後篇）, 75
94,第681話：賭上性命的戀愛轉播（轉播開始）（雷）, 76
95,第682話：賭上性命的戀愛轉播（命懸一線）, 7677
96,第683話：賭上性命的戀愛轉播（突入現場）, 77
97,第731話：現場的鄰居是前男友（前篇）（雷）, 80
98,第732話：現場的鄰居是前男友（後篇）, 80
99,第744話：嫌疑犯是京極真（前篇）（雷）, 81
100,第745話：嫌疑犯是京極真（後篇）, 81
101,第746話：怪盜基德vs京極真（前篇）（雷）, 82
102,第747話：怪盜基德vs京極真（後篇）, 82
103,第748話：本廳刑警戀愛物語（告白）（雷）, 82
104,第749話：本廳刑警戀愛物語（真相）, 82
105,第763話：柯南與平次戀愛的暗號（前篇）（雷）, 83
106,第764話：柯南與平次戀愛的暗號（後篇）（雷）, 83
107,第772話：工藤新一水族館事件（前篇）（雷）, 8384
108,第773話：工藤新一水族館事件（後篇）, 84
109,第785話：太閣戀愛的名人戰（前篇）（雷）, 85
110,第786話：太閣戀愛的名人戰（後篇）（雷）, 85
111,第808話：鐮鼬的旅館（前篇）（雷）, 86
112,第809話：鐮鼬的旅館（後篇）, 86
